,fire_id,fire_size,fire_cause,latitude,longitude,state,state_no,discovery_month,discovery_month_no,year,putout_time,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,fire_size_bin,fire_size_bin_no,medium_plus
0,3,1.0,Debris Burning,39.6414,-119.3083,NV,29,Jun,6,2005,0,16.27596717,18.99618138,18.1425641,4.054982415,3.398329356,3.671282051,44.77842907,37.14081146,35.35384615,Teacup,1,0
1,24,40.0,Arson,31.43518075,-88.99948898,MS,22,Apr,4,1999,0,13.46861925,15.06722689,15.60479042,2.038268156,1.7379213480000002,1.775903614,57.99720670000001,56.74719101,59.61445783,Mini,3,0
2,31,1.2,Debris Burning,48.833,-99.7836,ND,25,Apr,4,2007,0,-0.8916349809999999,0.372659176,-4.273833671,5.800666667000001,6.012851782,6.65862069,77.57501206,75.96398104,71.17311609,Teacup,1,0
3,35,30.18,Debris Burning,31.259,-84.8956,GA,8,Oct,10,2000,0,20.07947977,17.72271386,18.18867925,3.65984,3.366442953,2.211428571,67.55178268,61.7337884,60.32857143,Mini,3,0
4,36,1420.0,Lightning,33.2418,-104.9122,NM,28,Jul,7,1994,1,31.05585937,32.5234375,34.89333333,4.026367187,3.844921875,3.695833333,28.78320313,25.7890625,18.20833333,Large,5,1
5,48,55.0,Debris Burning,37.46458863,-81.49122444,WV,44,Apr,4,2014,0,8.9048,12.492723,11.73579545,4.18489426,3.882897862,2.940116279,56.23867069,49.52731591,40.64534884,Medium,4,1
6,54,3.2,Utilities,43.85158,-108.19147,WY,45,Jul,7,2010,0,22.72938005,23.7672043,24.40402299,3.148513514,2.737837838,2.821511628,37.25675676,37.38648649,37.62209302,Teacup,1,0
7,56,15.3,Utilities,36.5865,-96.32322,OK,32,Dec,12,2015,1,8.523263157999999,5.933657587999999,2.911842105,3.278095238,3.311328125,2.128193833,76.61521739,80.17729084,85.36936937,Mini,3,0
8,57,270.0,Arson,35.47333333,-84.45,TN,38,Oct,10,1999,1,14.40471888,11.63909465,10.72222222,1.976602238,1.750730689,0.799509804,73.77567887,70.18932039,68.28723404,Medium,4,1
9,59,57.0,Arson,36.81666667,-82.65166667,VA,41,Apr,4,1995,2,8.864242424,8.231321839,6.332934132,3.135151515,3.3071839080000003,3.089221557,52.83489097,53.92330383,53.1257485,Medium,4,1
